Epoch	AvgRewardsLast100Ep	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals1	StdVVals1	MaxVVals1	MinVVals1	AverageVVals2	StdVVals2	MaxVVals2	MinVVals2	TotalEnvInteracts	LossPi1	LossPi2	LossV1	LossV2	DeltaLossPi1	DeltaLossPi2	DeltaLossV1	DeltaLossV2	Entropy1	Entropy2	KL1	KL2	ClipFrac1	ClipFrac2	StopIter1	StopIter2	Time
0	0.01740049570798874	0.017098216	0.03673103	0.1	0.0	17.678572	0.04232898	0.11442377	1.1629257	0.0	0.041195188	0.11236026	1.1957078	0.0	4000	9.313226e-09	-7.450581e-09	0.01496427	0.014453994	-0.02562551	-0.028977416	-0.0008595346	-0.00084717944	0.91893846	0.91893846	-0.008493358	-0.0069065625	0.10375	0.11825	79.0	79.0	4.79546594619751
1	0.016325000673532486	0.014763948	0.03459217	0.1	0.0	17.051502	0.038880643	0.10717844	1.0227691	0.0	0.039885882	0.10897587	0.98718125	0.0	8000	3.7252903e-09	-2.4680048e-08	0.012889448	0.013554048	-0.028829519	-0.027717479	-0.0007032831	-0.0007657055	0.9152983	0.9141881	-0.0047988575	-0.008443639	0.12825	0.10775	79.0	79.0	9.228013038635254
2	0.017100000753998756	0.018928573	0.039378136	0.19	0.0	17.772322	0.039358858	0.10829713	1.0827354	0.0	0.037001535	0.10489743	1.131355	0.0	12000	5.122274e-09	-1.44355e-08	0.013382753	0.012632697	-0.02873873	-0.029171754	-0.00076009217	-0.00067636487	0.9194804	0.9085916	-0.007017046	-0.006966359	0.133	0.1135	79.0	79.0	13.663330078125
3	0.016850000247359276	0.016150441	0.035978783	0.1	0.0	17.353983	0.034974787	0.0980013	1.0432106	0.0	0.037591897	0.106882975	1.0814548	0.0	16000	7.450581e-09	2.0023435e-08	0.0112428535	0.012876559	-0.028218554	-0.027741302	-0.0005351021	-0.00072127604	0.91403115	0.9072305	-0.0073608714	-0.009288555	0.12875	0.12775001	79.0	79.0	18.061065912246704
4	0.014374999329447746	0.013872339	0.033781286	0.1	0.0	16.880852	0.03613333	0.100182116	0.9040586	0.0	0.03479735	0.09929339	0.9587063	0.0	20000	1.1175871e-08	-2.7939677e-09	0.011492159	0.011278674	-0.023761965	-0.029308077	-0.00059120636	-0.0005955985	0.8953721	0.90658826	-0.008842746	-0.015717607	0.113749996	0.13525	79.0	79.0	22.46863102912903
5	0.015250000171363354	0.015991379	0.036173195	0.1	0.0	17.051723	0.034675144	0.09706592	0.7724016	0.0	0.036636014	0.10094532	1.0510141	0.0	24000	1.839362e-08	2.8871e-08	0.010364791	0.012035837	-0.028834954	-0.027249528	-0.0005348951	-0.000658585	0.8774184	0.8932872	-0.0062444145	-0.009985555	0.12075	0.118750006	79.0	79.0	27.18471908569336
6	0.017475001513957977	0.019036697	0.039521087	0.19	0.0	18.24312	0.0371024	0.09995906	0.8993199	0.0	0.030875375	0.09298406	0.9807307	0.0	28000	9.313226e-10	1.21071935e-08	0.012194553	0.010144926	-0.028093442	-0.029407494	-0.0006527549	-0.000467767	0.88867337	0.89099354	-0.007908309	-0.0041051437	0.1195	0.14525	79.0	79.0	31.59689998626709
7	0.016724999994039536	0.015130435	0.03517324	0.1	0.0	17.23913	0.03620995	0.09951069	1.0352625	0.0	0.02940205	0.085447274	0.650697	0.0	32000	-3.7252903e-09	-3.236346e-08	0.011534158	0.008556732	-0.028533552	-0.029666957	-0.00066290866	-0.00042103708	0.88814193	0.8826411	-0.009742215	-0.005914463	0.1295	0.145	79.0	79.0	36.031497955322266
8	0.01782499998807907	0.020405406	0.03943655	0.1	0.0	17.896397	0.0310498	0.08908587	0.7361746	0.0	0.032734998	0.09308608	0.89328617	0.0	36000	0.0	6.0535967e-09	0.009043015	0.010189323	-0.028725263	-0.032034267	-0.00040112738	-0.0005454202	0.8629847	0.88110936	-0.012332508	-0.009087039	0.1275	0.1665	79.0	79.0	40.32500600814819
9	0.020500000566244125	0.021488372	0.04014646	0.1	0.0	18.506977	0.032516453	0.09293392	0.9938482	0.0	0.029478058	0.089233965	1.0123231	0.0	40000	-4.1909516e-09	5.5879354e-09	0.009995272	0.009298194	-0.027951036	-0.031720065	-0.00047163898	-0.00049364683	0.8669586	0.86864185	-0.0068444	-0.008477749	0.1365	0.1585	79.0	79.0	44.82864785194397
10	0.019625000655651093	0.01719457	0.03718978	0.1	0.0	17.82353	0.033786915	0.09770342	0.9230544	0.0	0.02906354	0.08901988	1.0695063	0.0	44000	-1.14087015e-08	-1.071021e-08	0.010835284	0.009301694	-0.029369887	-0.028547654	-0.00058625685	-0.00045286852	0.85857147	0.84863293	-0.0076299338	-0.0057469346	0.11825	0.13825	79.0	79.0	49.515992164611816
11	0.01862500049173832	0.022102803	0.04062328	0.1	0.0	18.453272	0.029155603	0.08897349	0.8445223	0.0	0.029084258	0.08801739	0.8291193	0.0	48000	-4.656613e-10	-2.142042e-08	0.008853469	0.008826489	-0.02924478	-0.030434646	-0.00041751412	-0.00042316865	0.84000576	0.8530107	-0.009498948	-0.006763439	0.15025	0.14449999	79.0	79.0	53.82379484176636
