Epoch	AvgRewardsLast100Ep	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals1	StdVVals1	MaxVVals1	MinVVals1	AverageVVals2	StdVVals2	MaxVVals2	MinVVals2	TotalEnvInteracts	LossPi1	LossPi2	LossV1	LossV2	DeltaLossPi1	DeltaLossPi2	DeltaLossV1	DeltaLossV2	Entropy1	Entropy2	KL1	KL2	ClipFrac1	ClipFrac2	StopIter1	StopIter2	Time
14	0.0012000000569969416	0.0017454545	0.012843418	0.1	0.0	14.407272	-0.0040222798	0.024013594	0.15993972	-0.21046628	-0.0037199936	0.025744192	0.12333721	-0.1587857	60000	-8.381903e-09	2.561137e-09	0.00064142444	0.00077529787	-0.04053898	-0.044172447	-0.00015810593	-0.00018043959	0.78821164	0.7826634	0.0152323255	0.015071571	0.16049999	0.16875	61.0	60.0	68.9746150970459
15	0.0030499999411404133	0.003494424	0.017808903	0.1	0.0	14.739777	-0.0035738808	0.024045628	0.17101304	-0.15148295	-0.003261963	0.026900902	0.13634315	-0.16223864	64000	5.820766e-10	3.259629e-09	0.00068436086	0.0009274336	-0.0415696	-0.044585325	-0.00018421415	-0.00022745765	0.7935127	0.77520454	0.015029548	0.015189565	0.15125	0.17625	72.0	79.0	73.82408714294434
16	0.003599999938160181	0.0040225564	0.019388769	0.1	0.0	14.966166	-0.0024517162	0.024605518	0.170138	-0.17511472	-0.001949028	0.027316889	0.2543221	-0.18224092	68000	4.656613e-09	1.21071935e-08	0.00081353216	0.0008332147	-0.025559496	-0.011600193	-0.0002058103	-0.00022334741	0.79351723	0.7609792	0.015015687	0.015152926	0.134	0.13675	21.0	5.0	78.56030011177063
17	0.0066999997943639755	0.0070980396	0.025053084	0.1	0.0	15.54902	-0.002167593	0.026385434	0.1826295	-0.15986921	-0.0025907476	0.026562808	0.18094893	-0.16740046	72000	5.5879354e-09	0.0	0.0009445372	0.0010588857	-0.04447432	-0.025492918	-0.0002313418	-0.00025219226	0.79206127	0.7599844	0.0150275305	0.015916428	0.19874999	0.17	79.0	18.0	83.54742193222046
18	0.005374999716877937	0.0041984734	0.019179912	0.1	0.0	15.103053	-0.0013790166	0.023080757	0.15230933	-0.108576335	-0.0004495594	0.024943205	0.19792372	-0.11221372	76000	5.5879354e-09	-5.5879354e-09	0.00059453107	0.0007747441	-0.037090614	-0.031572998	-0.00018947765	-0.00017869768	0.7565061	0.7573127	0.015192323	0.015092196	0.15924999	0.171	38.0	29.0	88.51505208015442
19	0.0076500000432133675	0.00972	0.029194549	0.1	0.0	15.944	-0.0021081641	0.024128148	0.16065282	-0.115106724	0.0011792512	0.025066007	0.13325414	-0.17892101	80000	9.313226e-09	-3.7252903e-09	0.0010339902	0.000917405	-0.029760975	-0.025111169	-0.0002573459	-0.00021247909	0.74505	0.75232196	0.015478196	0.01518121	0.17525001	0.13775	29.0	17.0	93.47452402114868
20	0.010499999858438969	0.012016461	0.03205653	0.1	0.0	16.325104	0.0020501136	0.026890783	0.23588723	-0.15953624	-0.0012420535	0.025908345	0.143094	-0.12914854	84000	1.8626451e-09	1.8626451e-09	0.0012071938	0.0009918599	-0.04096914	-0.03778854	-0.00026049232	-0.00020944685	0.732903	0.74741894	0.0151795205	0.015023945	0.20325	0.17375	57.0	39.0	98.82014489173889
21	0.014949999749660492	0.015106383	0.03499984	0.1	0.0	16.868086	0.0032019182	0.027517052	0.23017162	-0.15598318	0.00048476094	0.02705855	0.18221557	-0.1709735	88000	-7.450581e-09	-1.8626451e-09	0.0011400059	0.0011440546	-0.017282775	-0.0057375412	-0.00027135486	-0.0002946076	0.71540666	0.73449934	0.017418027	0.015933441	0.12674999	0.13	11.0	3.0	103.41236805915833
22	0.01795000024139881	0.02109589	0.03936349	0.1	0.0	18.07306	0.003524701	0.025297916	0.1771958	-0.103017166	0.00607504	0.030892035	0.19827598	-0.1064234	92000	-1.071021e-08	-1.1175871e-08	0.0010713865	0.0013681864	-0.008988109	-0.015428716	-0.00022338486	-0.00033139138	0.7135024	0.7337042	0.017423902	0.016213767	0.15	0.13374999	7.0	8.0	108.31318712234497
23	0.022700000554323196	0.023317536	0.040848684	0.1	0.0	18.63507	0.006029817	0.028104821	0.16652003	-0.12195092	0.009533729	0.0315445	0.17050879	-0.16158913	96000	1.4901161e-08	-3.7252903e-09	0.001227082	0.0012403454	-0.015096643	-0.031217176	-0.00026942207	-0.00028142298	0.71193737	0.7310083	0.016133858	0.015127671	0.1445	0.161	10.0	26.0	112.92045187950134
24	0.027150001376867294	0.030742574	0.044720728	0.1	0.0	19.623762	0.0067640855	0.027275361	0.20292398	-0.1738621	0.0062847054	0.030169096	0.1829833	-0.1570927	100000	1.0244548e-08	-5.5879354e-09	0.0013096712	0.0012200067	-0.026157614	-0.023020808	-0.0002532897	-0.00028318175	0.71071887	0.7288148	0.015446432	0.015226642	0.1515	0.12325	21.0	16.0	117.76353907585144
25	0.032749999314546585	0.03462766	0.045573995	0.1	0.0	21.132978	0.0076685445	0.028667571	0.14438921	-0.16925973	0.0123048555	0.033218306	0.13662803	-0.1004569	104000	1.8626451e-09	3.7252903e-09	0.0014019583	0.0013067883	-0.029378437	-0.016772782	-0.00029919288	-0.0002888018	0.7058284	0.7257408	0.015064945	0.0151034985	0.17225	0.114750005	21.0	9.0	122.47562289237976
26	0.037175003439188004	0.04061111	0.047083423	0.1	0.0	21.86111	0.00987654	0.026266392	0.14069098	-0.09989866	0.01420844	0.03544333	0.19407332	-0.111410014	108000	1.1175871e-08	-1.8626451e-09	0.0011838616	0.0014028414	-0.018566536	-0.04618928	-0.00027192343	-0.00031205162	0.701346	0.72346634	0.015828196	0.012399549	0.12799999	0.19075	12.0	79.0	127.4534752368927
27	0.040449999272823334	0.04127778	0.04678593	0.1	0.0	21.955555	0.010903703	0.028876176	0.1571777	-0.10233687	0.016714059	0.035439912	0.19617364	-0.18285769	112000	-1.3038516e-08	-1.8626451e-09	0.0011723386	0.0010694757	-0.029076539	-0.04233545	-0.00022593525	-0.00022024362	0.70076185	0.7023427	0.015333386	0.0151852695	0.16049999	0.17875001	22.0	71.0	132.42459511756897
28	0.04217500239610672	0.042897727	0.04711098	0.1	0.0	22.28409	0.00917758	0.027044209	0.19846454	-0.10408759	0.019249134	0.03635724	0.17142785	-0.11301181	116000	1.21071935e-08	-2.188608e-08	0.001223429	0.0012698299	-0.029954009	-0.02874865	-0.00026072434	-0.00023998441	0.6965027	0.69049835	0.0154260425	0.01529002	0.147	0.14025	21.0	23.0	137.12934517860413
29	0.0421999990940094	0.040216215	0.046695758	0.1	0.0	21.443243	0.0098563535	0.026566762	0.13353993	-0.10397066	0.01981266	0.035332784	0.14726868	-0.12569664	120000	2.2351742e-08	-9.313226e-10	0.0010886162	0.0011612417	-0.04436259	-0.04581076	-0.0002349893	-0.00020647627	0.68694395	0.6816094	0.015311963	0.014772447	0.20125	0.19525	58.0	79.0	142.15879893302917
30	0.043800003826618195	0.047861274	0.048913553	0.2	0.0	22.843931	0.010009058	0.026229486	0.15222487	-0.12843928	0.014692623	0.034181785	0.13946944	-0.106864676	124000	2.7939677e-08	-1.1175871e-08	0.0013047976	0.0010644051	-0.011235486	-0.041438743	-0.0002769857	-0.00020269764	0.6716289	0.66316026	0.018483272	0.015210532	0.16175	0.17975	7.0	48.0	147.02028489112854
31	0.04867500066757202	0.052934133	0.046793103	0.1	0.0	23.778442	0.012856716	0.028158309	0.17064765	-0.088777624	0.018783638	0.035324935	0.16123116	-0.108832665	128000	-2.3283064e-08	-1.7695129e-08	0.0011297534	0.0010391932	-0.010770384	-0.014305606	-0.0002635151	-0.00019400405	0.6706003	0.64889723	0.0151875615	0.015461396	0.12825	0.14075	7.0	8.0	151.7363519668579
32	0.05134999752044678	0.049473684	0.04762504	0.1	0.0	23.081871	0.015134817	0.028584227	0.15700711	-0.14428939	0.018496873	0.035974637	0.1421608	-0.10771803	132000	7.450581e-09	3.7252903e-09	0.0012475159	0.00085280696	-0.028301546	-0.035600476	-0.00027479226	-0.00017006104	0.66965485	0.64604676	0.015075568	0.015043251	0.14950001	0.15625	23.0	39.0	156.85429215431213
33	0.052799999713897705	0.05595092	0.046899423	0.1	0.0	24.25767	0.015242553	0.029526616	0.1631259	-0.08209895	0.016273983	0.03540453	0.1384192	-0.1014418	136000	-2.910383e-09	-2.2351742e-08	0.0010805274	0.0008809012	-0.02748041	-0.02250585	-0.00021406745	-0.00016974244	0.66225076	0.64237696	0.015117342	0.015940975	0.15975	0.12875	23.0	16.0	161.8471019268036
