Epoch	AvgRewardsLast100Ep	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals1	StdVVals1	MaxVVals1	MinVVals1	AverageVVals2	StdVVals2	MaxVVals2	MinVVals2	TotalEnvInteracts	LossPi1	LossPi2	LossV1	LossV2	DeltaLossPi1	DeltaLossPi2	DeltaLossV1	DeltaLossV2	Entropy1	Entropy2	KL1	KL2	ClipFrac1	ClipFrac2	StopIter1	StopIter2	Time
0	0.016259852796792984	0.016043479	0.036109712	0.1	0.0	17.186956	1.4152681	0.60134554	3.278509	0.0	1.3930316	0.59181994	3.3598964	0.0	4000	-1.7695129e-08	8.8941306e-08	2.336537	2.267541	-0.025000542	-0.022150287	-2.2942038	-2.249456	0.91893846	0.91893846	0.015227457	0.015001959	0.100250006	0.1035	44.0	28.0	4.7521748542785645
1	0.012974999845027924	0.012803347	0.032614253	0.1	0.0	16.598326	2.1304906e-05	0.0008863554	0.05258628	0.0	4.8466572e-05	0.0023027912	0.1385139	0.0	8000	2.0489097e-08	-1.8626451e-09	0.0007084108	0.0005654395	-0.016016753	-0.02191867	-1.1168595e-07	-5.6563294e-07	0.92983776	0.9261997	0.015062023	0.015146508	0.1005	0.11225	23.0	54.0	9.470844984054565
2	0.014449999667704105	0.016434783	0.036420044	0.1	0.0	17.286957	1.6123553e-05	0.0006088216	0.028911747	0.0	1.9089963e-05	0.0008463477	0.04793895	0.0	12000	-2.6077032e-08	-5.5879354e-09	0.00092923234	0.00058973033	-0.023914985	-0.020507716	-1.1596421e-07	-1.3587123e-07	0.929017	0.9115494	0.015144928	0.015921775	0.09925	0.118	57.0	42.0	14.550070762634277
3	0.017100000753998756	0.015777778	0.036847368	0.2	0.0	17.595556	2.581222e-06	0.0001632304	0.010324888	0.0	0.0	0.0	0.0	0.0	16000	3.7252903e-09	5.122274e-09	0.0008789912	0.0008063135	-0.02559922	-0.020264767	-4.5547495e-09	0.0	0.91432714	0.8963013	0.0152674625	0.015310444	0.10775	0.09375	67.0	34.0	19.43893003463745
4	0.018125001341104507	0.017379913	0.037266184	0.1	0.0	17.362446	8.288473e-07	5.2414354e-05	0.0033153892	0.0	0.0	0.0	0.0	0.0	20000	-3.5390258e-08	-4.5401976e-09	0.0009913275	0.00067586405	-0.023275284	-0.019623253	-5.529728e-10	0.0	0.8973579	0.88412464	0.015103282	0.015031756	0.1025	0.09550001	42.0	32.0	24.44108486175537
5	0.01862500049173832	0.01918919	0.038651485	0.1	0.0	17.806307	4.579693e-05	0.0021685378	0.1235293	0.0	6.6382977e-06	0.0002499168	0.011946611	0.0	24000	-1.4901161e-08	-3.7252903e-09	0.001094156	0.00067118864	-0.023519669	-0.020221464	-3.2798562e-07	-1.9732397e-08	0.88323045	0.8824402	0.015115306	0.015243785	0.103	0.1055	42.0	39.0	29.5675528049469
6	0.01785000041127205	0.016666668	0.035937257	0.1	0.0	17.186148	2.8821603e-06	0.00018226111	0.011528641	0.0	1.0859488e-05	0.00068672845	0.04343795	0.0	28000	-1.8626451e-08	1.0244548e-08	0.00056029216	0.0009564957	-0.018467337	-0.026380278	-2.0809239e-09	-8.1723556e-08	0.87121	0.8776654	0.015175629	0.015090354	0.095750004	0.10375	45.0	43.0	34.770309925079346
7	0.015775000676512718	0.01735426	0.036625545	0.1	0.0	17.632286	0.0	0.0	0.0	0.0	8.830596e-06	0.00047304414	0.029649273	0.0	32000	-1.1175871e-08	-1.8626451e-08	0.0006730324	0.00088326284	-0.016790494	-0.015201664	0.0	-8.8551315e-07	0.85484767	0.8767762	0.015042214	0.015367048	0.118750006	0.099	22.0	18.0	40.31112098693848
8	0.020500000566244125	0.02299539	0.042030986	0.19	0.0	18.285715	6.5428317e-06	0.0004137533	0.026171327	0.0	3.5941117e-05	0.0020283365	0.12723404	0.0	36000	2.2351742e-08	-2.6077032e-08	0.0011031838	0.0010423083	-0.023733921	-0.023356639	-3.1795935e-07	-3.0898082e-07	0.84876186	0.8736753	0.015288243	0.015134599	0.10175	0.11175	40.0	32.0	45.827986001968384
9	0.021974999457597733	0.021509435	0.042019594	0.2	0.0	18.59434	0.0	0.0	0.0	0.0	1.6701282e-05	0.0010561501	0.06680513	0.0	40000	2.514571e-08	-7.450581e-09	0.00098715	0.0012535322	-0.021588057	-0.020571489	0.0	-3.6437996e-08	0.83876055	0.8666753	0.0150349755	0.015124558	0.1085	0.0995	33.0	31.0	51.657498836517334
10	0.02042500115931034	0.020180997	0.03941844	0.1	0.0	17.918552	5.5811925e-06	0.00026597732	0.015279584	0.0	2.714945e-05	0.0011534675	0.06559776	0.0	44000	1.0244548e-08	0.0	0.001302335	0.0007315084	-0.028812079	-0.022493273	-2.5084591e-07	-3.7629798e-07	0.8317727	0.85920215	0.015061281	0.01503747	0.11825	0.11975001	56.0	32.0	57.64263892173767
11	0.0203000009059906	0.020545455	0.039481558	0.1	0.0	17.886364	1.9332876e-05	0.0012152767	0.076869175	0.0	2.1219306e-05	0.0013418591	0.08487722	0.0	48000	0.0	1.8626451e-09	0.0010069645	0.00085493806	-0.019381918	-0.01853163	-2.0925654e-08	-2.6193447e-10	0.81531	0.8520415	0.015229068	0.015327701	0.10975	0.10025	32.0	23.0	63.18273591995239
12	0.020725000649690628	0.02119266	0.03994778	0.1	0.0	18.279816	1.3499034e-05	0.00085364725	0.05399614	0.0	3.1557072e-05	0.0013125502	0.073986776	0.0	52000	-2.9802322e-08	-1.4901161e-08	0.0009217808	0.0009906506	-0.019149695	-0.021697646	-2.0826701e-07	-2.6787166e-07	0.8048859	0.8435864	0.015049404	0.015406969	0.09575	0.124000005	24.0	23.0	68.45231080055237
13	0.021900000050663948	0.023632076	0.041521948	0.1	0.0	18.759434	5.3061553e-06	0.00033554877	0.021224622	0.0	2.312469e-05	0.0009199033	0.049670324	0.0	56000	-1.8626451e-08	3.7252903e-09	0.0012384824	0.0009417997	-0.02946064	-0.025366066	-2.5902409e-08	-4.0254963e-07	0.79639375	0.83420837	0.015051849	0.015267347	0.135	0.109	52.0	39.0	73.94577383995056
14	0.026850000023841858	0.02989899	0.044369772	0.1	0.0	20.075758	1.7478626e-05	0.0011053074	0.069914505	0.0	9.381629e-05	0.0026852523	0.114447966	0.0	60000	7.450581e-09	0.0	0.0012923903	0.0011044614	-0.0289035	-0.028755305	-6.8277586e-08	-4.585745e-07	0.7838689	0.8257354	0.015103485	0.01517391	0.116000004	0.109500006	43.0	46.0	79.70056200027466
15	0.027575001120567322	0.025291264	0.04250257	0.1	0.0	19.165049	0.0	0.0	0.0	0.0	3.1152435e-05	0.0015320344	0.090840876	0.0	64000	-1.4901161e-08	-2.4214387e-08	0.001302161	0.0011665206	-0.019434493	-0.024611522	0.0	-1.2925011e-07	0.76748145	0.812548	0.01514296	0.015221038	0.106249996	0.109500006	20.0	35.0	84.9778368473053
16	0.028750000521540642	0.031794872	0.046567943	0.19	0.0	20.158974	3.58378e-05	0.0022662983	0.1433512	0.0	2.025913e-05	0.0008117604	0.045830764	0.0	68000	-2.7590431e-08	-1.4901161e-08	0.0015990788	0.0012756392	-0.025047522	-0.025668766	-2.9656803e-07	-7.766648e-07	0.75996506	0.79893625	0.015583064	0.015942574	0.1155	0.1155	28.0	34.0	90.2812888622284
17	0.030650001019239426	0.028947366	0.044148967	0.1	0.0	19.086124	1.4583176e-05	0.00092220574	0.058332704	0.0	0.000112089605	0.003613895	0.15722895	0.0	72000	1.3038516e-08	2.2351742e-08	0.0013893256	0.00096419477	-0.025727535	-0.029222997	-7.163326e-07	-7.965282e-07	0.755106	0.7867457	0.015654683	0.015052035	0.112	0.111	31.0	51.0	95.77964186668396
18	0.02457500249147415	0.020046083	0.038717907	0.1	0.0	18.175116	4.036145e-06	0.00025523637	0.016144581	0.0	3.885597e-06	0.00024571602	0.015542388	0.0	76000	-1.1175871e-08	-2.7008355e-08	0.0007672127	0.0011110561	-0.018988675	-0.022979679	-3.6568963e-08	-2.7532224e-08	0.7445339	0.7693203	0.015359672	0.015431836	0.11974999	0.114	21.0	24.0	101.14858508110046
19	0.022424999624490738	0.02364929	0.04255412	0.2	0.0	18.720379	1.2009444e-05	0.00048334242	0.022925608	0.0	1.0228771e-05	0.0005749713	0.03604222	0.0	80000	1.1175871e-08	-9.313226e-09	0.0012653277	0.0009601089	-0.024244558	-0.023378065	-9.355426e-08	-1.5580736e-06	0.7402418	0.76480687	0.015417991	0.015298604	0.1365	0.101500005	27.0	31.0	106.46866989135742
20	0.02707500010728836	0.030199999	0.046700753	0.2	0.0	19.715	3.0450325e-05	0.0011975898	0.06295766	0.0	3.001273e-05	0.0011908753	0.061444193	0.0	84000	-1.1175871e-08	0.0	0.0014917597	0.0011438902	-0.018308062	-0.024214417	-2.0043226e-06	-2.0532752e-07	0.7382667	0.76284504	0.015146397	0.0151117025	0.1125	0.10625	16.0	36.0	111.71120476722717
21	0.031024999916553497	0.031989798	0.045497477	0.1	0.0	20.183674	1.2554143e-05	0.00072264316	0.04546301	0.0	3.889917e-05	0.0017899873	0.09673382	0.0	88000	-3.5390258e-08	9.313226e-09	0.0014139533	0.0012553147	-0.029452465	-0.029660031	-3.3489778e-07	-6.1816536e-08	0.7345822	0.75856847	0.015128724	0.015187528	0.13075	0.1105	41.0	52.0	117.63779783248901
22	0.03212499991059303	0.03181818	0.04559071	0.1	0.0	19.924242	0.0	0.0	0.0	0.0	1.3606328e-05	0.00061394187	0.030912764	0.0	92000	-3.7252903e-08	1.1175871e-08	0.0015736856	0.00097639346	-0.023979284	-0.023441762	0.0	-2.8012437e-07	0.72227526	0.74499905	0.015252047	0.01507201	0.1125	0.11175	25.0	33.0	123.08065390586853
23	0.03199999779462814	0.03163265	0.045506082	0.1	0.0	20.285715	3.369753e-05	0.0017923017	0.11187533	0.0	1.6733818e-05	0.0007208209	0.03929299	0.0	96000	-1.9557774e-08	5.5879354e-09	0.0016378806	0.00096115866	-0.030445438	-0.028268602	-2.142653e-06	-1.0160438e-06	0.7126184	0.7398784	0.01544256	0.015031621	0.127	0.1225	38.0	53.0	129.00023889541626
24	0.03357499837875366	0.03564516	0.047653124	0.2	0.0	21.198925	1.9150906e-05	0.0009641523	0.05812311	0.0	4.528728e-05	0.0015646939	0.08468035	0.0	100000	-2.514571e-08	-4.284084e-08	0.001744535	0.0013521698	-0.032607064	-0.02806519	-6.9625094e-07	-8.617062e-07	0.69775623	0.7321871	0.015742583	0.015130609	0.12125	0.1165	46.0	36.0	134.49185490608215
25	0.03595000132918358	0.037015706	0.047149032	0.1	0.0	20.696335	0.00016154163	0.0048093223	0.21972254	0.0	5.85999e-06	0.00034054602	0.021449007	0.0	104000	-2.6077032e-08	-2.2351742e-08	0.0017701813	0.0012620953	-0.025630316	-0.030176505	-2.5298068e-06	-1.975277e-07	0.68513966	0.72338516	0.015566062	0.015386965	0.109749995	0.10675	30.0	53.0	140.24001693725586
26	0.03824999928474426	0.04197802	0.048032034	0.1	0.0	21.697802	6.1039114e-05	0.0024068237	0.13124338	0.0	2.165021e-05	0.0011867639	0.07400593	0.0	108000	-2.6077032e-08	-6.6356733e-09	0.0017917857	0.0014826276	-0.029503264	-0.030268282	-2.3189932e-07	-2.2854365e-06	0.67337596	0.71860915	0.015086194	0.015120844	0.11975	0.119	37.0	43.0	146.10677886009216
27	0.03930000215768814	0.03919355	0.048381273	0.2	0.0	21.258064	5.3677544e-05	0.0018808002	0.08032698	0.0	0.00012533242	0.0044686343	0.24266171	0.0	112000	1.8626451e-08	0.0	0.0017345999	0.0014595648	-0.02867818	-0.03273521	-1.5828118e-06	-5.165959e-06	0.666291	0.70999026	0.015374505	0.015135035	0.1235	0.12825	36.0	57.0	152.319926738739
28	0.036799997091293335	0.035513517	0.047702696	0.19	0.0	21.17838	9.925561e-05	0.003269638	0.1531182	0.0	8.035265e-05	0.0033345718	0.16911024	0.0	116000	1.8626451e-08	1.4901161e-08	0.0015962373	0.0015047498	-0.022575496	-0.030413844	-9.980577e-07	-7.308554e-07	0.6579957	0.6909542	0.015302718	0.015425976	0.105000004	0.12125	23.0	48.0	158.23131704330444
